Time,CO2 (ppm),CH4 (ppb),N2O (ppb),CFC_11 (ppb),CFC_12 (ppb)
2031.7598,443.2298795,2000.60458,344.4460413,0.20175562,0.457584233
2031.801501,443.3435908,2000.92914,344.4896751,0.201682871,0.457409383
2031.843203,443.4573518,2001.253655,344.5333224,0.201610123,0.457234389
2031.884904,443.5711625,2001.578123,344.5769831,0.201537374,0.457059249
2031.926606,443.6850231,2001.902546,344.6206573,0.201464625,0.456883964
2031.968307,443.7989334,2002.226922,344.664345,0.201391876,0.456708534
2032.010008,443.9128935,2002.551253,344.7080462,0.201319127,0.456532959
2032.05171,444.0269034,2002.875537,344.7517609,0.201246378,0.456357239
2032.093411,444.1409632,2003.199776,344.795489,0.201173629,0.456181375
2032.135113,444.2550728,2003.523969,344.8392306,0.20110088,0.456005365
2032.176814,444.3692322,2003.848117,344.8829857,0.201028131,0.455829212
2032.218515,444.4834416,2004.172219,344.9267543,0.200955383,0.455652913
2032.260217,444.5977008,2004.496275,344.9705364,0.200882634,0.455476471
2032.301918,444.7120099,2004.820286,345.014332,0.200809885,0.455299884
2032.34362,444.826369,2005.144251,345.058141,0.200737136,0.455123152
2032.385321,444.940778,2005.468171,345.1019636,0.200664387,0.454946277
2032.427023,445.055237,2005.792045,345.1457996,0.200591638,0.454769258
2032.468724,445.1697459,2006.115874,345.1896491,0.200518889,0.454592094
2032.510425,445.2843048,2006.439658,345.2335121,0.20044614,0.454414787
2032.552127,445.3989137,2006.763396,345.2773886,0.200373391,0.454237336
2032.593828,445.5135726,2007.087089,345.3212786,0.200300643,0.454059741
2032.63553,445.6282816,2007.410737,345.365182,0.200227894,0.453882002
2032.677231,445.7430406,2007.73434,345.409099,0.200155145,0.45370412
2032.718932,445.8578496,2008.057898,345.4530294,0.200082396,0.453526095
2032.760634,445.9727088,2008.38141,345.4969734,0.200009647,0.453347926
2032.802335,446.087618,2008.704878,345.5409308,0.199936898,0.453169614
2032.844037,446.2025773,2009.028301,345.5849017,0.199864149,0.452991159
2032.885738,446.3175868,2009.351679,345.6288862,0.1997914,0.45281256
2032.92744,446.4326463,2009.675012,345.6728841,0.199718651,0.452633819
2032.969141,446.5477561,2009.9983,345.7168955,0.199645903,0.452454935
2033.010842,446.662916,2010.321543,345.7609204,0.199573154,0.452275908
2033.052544,446.7781261,2010.644742,345.8049588,0.199500405,0.452096738
2033.094245,446.8933864,2010.967896,345.8490107,0.199427656,0.451917426
2033.135947,447.0086969,2011.291005,345.8930761,0.199354907,0.451737971
2033.177648,447.1240576,2011.61407,345.937155,0.199282158,0.451558374
2033.219349,447.2394686,2011.93709,345.9812474,0.199209409,0.451378634
2033.261051,447.3549298,2012.260066,346.0253533,0.19913666,0.451198752
2033.302752,447.4704413,2012.582998,346.0694727,0.199063911,0.451018728
2033.344454,447.5860031,2012.905885,346.1136056,0.198991163,0.450838562
2033.386155,447.7016153,2013.228727,346.157752,0.198918414,0.450658254
2033.427857,447.8172777,2013.551525,346.2019119,0.198845665,0.450477805
2033.469558,447.9329905,2013.874279,346.2460853,0.198772916,0.450297213
2033.511259,448.0487536,2014.196989,346.2902722,0.198700167,0.45011648
2033.552961,448.1645671,2014.519655,346.3344726,0.198627418,0.449935605
2033.594662,448.280431,2014.842276,346.3786865,0.198554669,0.449754589
2033.636364,448.3963453,2015.164854,346.4229139,0.19848192,0.449573431
2033.678065,448.51231,2015.487387,346.4671549,0.198409171,0.449392132
2033.719766,448.6283251,2015.809877,346.5114093,0.198336422,0.449210692
2033.761468,448.7443907,2016.132322,346.5556772,0.198263674,0.449029111
2033.803169,448.8605067,2016.454724,346.5999587,0.198190925,0.448847388
2033.844871,448.9766733,2016.777081,346.6442537,0.198118176,0.448665525
2033.886572,449.0928903,2017.099395,346.6885621,0.198045427,0.448483521
2033.928274,449.2091578,2017.421665,346.7328841,0.197972678,0.448301377
2033.969975,449.3254759,2017.743892,346.7772196,0.197899929,0.448119092
2034.011676,449.4418445,2018.066074,346.8215686,0.19782718,0.447936666
2034.053378,449.5582636,2018.388213,346.8659311,0.197754431,0.4477541
2034.095079,449.6747333,2018.710309,346.9103071,0.197681682,0.447571394
2034.136781,449.7912537,2019.032361,346.9546967,0.197608934,0.447388547
2034.178482,449.9078246,2019.354369,346.9990997,0.197536185,0.447205561
2034.220183,450.0244461,2019.676334,347.0435163,0.197463436,0.447022434
2034.261885,450.1411183,2019.998256,347.0879464,0.197390687,0.446839168
2034.303586,450.2578411,2020.320134,347.13239,0.197317938,0.446655762
2034.345288,450.3746146,2020.641969,347.1768471,0.197245189,0.446472216
2034.386989,450.4914388,2020.96376,347.2213178,0.19717244,0.44628853
2034.428691,450.6083137,2021.285509,347.2658019,0.197099691,0.446104705
2034.470392,450.7252393,2021.607214,347.3102996,0.197026942,0.445920741
2034.512093,450.8422156,2021.928876,347.3548108,0.196954194,0.445736637
2034.553795,450.9592427,2022.250495,347.3993355,0.196881445,0.445552395
2034.595496,451.0763206,2022.57207,347.4438738,0.196808696,0.445368013
2034.637198,451.1934492,2022.893603,347.4884255,0.196735947,0.445183492
2034.678899,451.3106286,2023.215093,347.5329908,0.196663198,0.444998833
2034.720601,451.4278588,2023.53654,347.5775696,0.196590449,0.444814034
2034.762302,451.5451399,2023.857944,347.622162,0.1965177,0.444629097
2034.804003,451.6624718,2024.179305,347.6667678,0.196444951,0.444444022
2034.845705,451.7798545,2024.500623,347.7113872,0.196372202,0.444258808
2034.887406,451.8972882,2024.821899,347.7560201,0.196299454,0.444073456
2034.929108,452.0147727,2025.143132,347.8006666,0.196226705,0.443887966
2034.970809,452.1323081,2025.464322,347.8453265,0.196153956,0.443702337
2035.01251,452.2498945,2025.785469,347.8900001,0.196081207,0.443516571
2035.054212,452.3675318,2026.106574,347.9346871,0.196008458,0.443330666
2035.095913,452.48522,2026.427637,347.9793876,0.195935709,0.443144624
2035.137615,452.6029593,2026.748656,348.0241017,0.19586296,0.442958444
2035.179316,452.7207495,2027.069634,348.0688294,0.195790211,0.442772127
2035.221018,452.8385907,2027.390569,348.1135705,0.195717462,0.442585672
2035.262719,452.9564829,2027.711461,348.1583252,0.195644714,0.44239908
2035.30442,453.0744262,2028.032312,348.2030934,0.195571965,0.44221235
2035.346122,453.1924205,2028.35312,348.2478752,0.195499216,0.442025484
2035.387823,453.3104659,2028.673885,348.2926705,0.195426467,0.44183848
2035.429525,453.4285623,2028.994609,348.3374793,0.195353718,0.44165134
2035.471226,453.5467099,2029.31529,348.3823017,0.195280969,0.441464063
2035.512927,453.6649086,2029.63593,348.4271376,0.19520822,0.441276649
2035.554629,453.7831584,2029.956527,348.4719871,0.195135471,0.441089098
2035.59633,453.9014594,2030.277082,348.5168501,0.195062722,0.440901411
2035.638032,454.0198115,2030.597595,348.5617266,0.194989974,0.440713588
2035.679733,454.1382148,2030.918066,348.6066167,0.194917225,0.440525629
2035.721435,454.2566693,2031.238495,348.6515203,0.194844476,0.440337533
2035.763136,454.3751751,2031.558883,348.6964375,0.194771727,0.440149302
